task,sample_id,correct,model,e2_type,e3_type,entity,question,expected_answer,model_answer
second_hop_semi_synthetic,ancient_cities_continent_Alexandria,True,mikita_apollo/meta-llama/Llama-3-8b-chat-hf-80321083,ancient_cities,continent,Alexandria,On which continent is Alexandria located?,Africa,Africa
second_hop_semi_synthetic,ancient_cities_continent_Antioch,True,mikita_apollo/meta-llama/Llama-3-8b-chat-hf-80321083,ancient_cities,continent,Antioch,On which continent is Antioch located?,Asia,Asia
second_hop_semi_synthetic,ancient_cities_continent_Athens,True,mikita_apollo/meta-llama/Llama-3-8b-chat-hf-80321083,ancient_cities,continent,Athens,On which continent is Athens located?,Europe,Europe
second_hop_semi_synthetic,ancient_cities_continent_Babylon,True,mikita_apollo/meta-llama/Llama-3-8b-chat-hf-80321083,ancient_cities,continent,Babylon,On which continent is Babylon located?,Asia,Asia
second_hop_semi_synthetic,ancient_cities_continent_Carthage,True,mikita_apollo/meta-llama/Llama-3-8b-chat-hf-80321083,ancient_cities,continent,Carthage,On which continent is Carthage located?,Africa,Africa
second_hop_semi_synthetic,ancient_cities_continent_Constantinople,True,mikita_apollo/meta-llama/Llama-3-8b-chat-hf-80321083,ancient_cities,continent,Constantinople,On which continent is Constantinople located?,Asia,Asia
second_hop_semi_synthetic,ancient_cities_continent_Corinth,True,mikita_apollo/meta-llama/Llama-3-8b-chat-hf-80321083,ancient_cities,continent,Corinth,On which continent is Corinth located?,Europe,Europe
second_hop_semi_synthetic,ancient_cities_continent_Damascus,True,mikita_apollo/meta-llama/Llama-3-8b-chat-hf-80321083,ancient_cities,continent,Damascus,On which continent is Damascus located?,Asia,Asia
second_hop_semi_synthetic,ancient_cities_continent_Ephesus,True,mikita_apollo/meta-llama/Llama-3-8b-chat-hf-80321083,ancient_cities,continent,Ephesus,On which continent is Ephesus located?,Asia,Asia
second_hop_semi_synthetic,ancient_cities_continent_Jerusalem,True,mikita_apollo/meta-llama/Llama-3-8b-chat-hf-80321083,ancient_cities,continent,Jerusalem,On which continent is Jerusalem located?,Asia,Asia
second_hop_semi_synthetic,ancient_cities_continent_Memphis,True,mikita_apollo/meta-llama/Llama-3-8b-chat-hf-80321083,ancient_cities,continent,Memphis,On which continent is Memphis located?,Africa,Africa
second_hop_semi_synthetic,ancient_cities_continent_Nineveh,True,mikita_apollo/meta-llama/Llama-3-8b-chat-hf-80321083,ancient_cities,continent,Nineveh,On which continent is Nineveh located?,Asia,Asia
second_hop_semi_synthetic,ancient_cities_continent_Pergamon,True,mikita_apollo/meta-llama/Llama-3-8b-chat-hf-80321083,ancient_cities,continent,Pergamon,On which continent is Pergamon located?,Asia,Asia
second_hop_semi_synthetic,ancient_cities_continent_Persepolis,True,mikita_apollo/meta-llama/Llama-3-8b-chat-hf-80321083,ancient_cities,continent,Persepolis,On which continent is Persepolis located?,Asia,Asia
second_hop_semi_synthetic,ancient_cities_continent_Rome,True,mikita_apollo/meta-llama/Llama-3-8b-chat-hf-80321083,ancient_cities,continent,Rome,On which continent is Rome located?,Europe,Europe
second_hop_semi_synthetic,ancient_cities_continent_Sparta,True,mikita_apollo/meta-llama/Llama-3-8b-chat-hf-80321083,ancient_cities,continent,Sparta,On which continent is Sparta located?,Europe,Europe
second_hop_semi_synthetic,ancient_cities_continent_Syracuse,False,mikita_apollo/meta-llama/Llama-3-8b-chat-hf-80321083,ancient_cities,continent,Syracuse,On which continent is Syracuse located?,Europe,Sicily
second_hop_semi_synthetic,ancient_cities_continent_Thebes,True,mikita_apollo/meta-llama/Llama-3-8b-chat-hf-80321083,ancient_cities,continent,Thebes,On which continent is Thebes located?,Africa,Africa
